Algorithm Index for Reference	Algorithm Name	Dropout	Optimizer	Batch Size	Epochs
Deep_1	ANN	0.2	Adam	1	50
Deep_2	ANN	0.2	Adam	1	200
Deep_3	ANN	0.2	Adam	5	50
Deep_4	ANN	0.2	Adam	5	200
Deep_5	ANN	0.5	Adam	1	50
Deep_6	ANN	0.5	Adam	1	200
Deep_7	ANN	0.5	Adam	5	50
Deep_8	ANN	0.5	Adam	5	200
Deep_9	GRU	0.2	Adam	1	50
Deep_10	GRU	0.2	Adam	1	200
Deep_11	GRU	0.2	Adam	5	50
Deep_12	GRU	0.2	Adam	5	200
Deep_13	GRU	0.5	Adam	1	50
Deep_14	GRU	0.5	Adam	1	200
Deep_15	GRU	0.5	Adam	5	50
Deep_16	GRU	0.5	Adam	5	200
Deep_17	LSTM	0.2	Adam	1	50
Deep_18	LSTM	0.2	Adam	1	200
Deep_19	LSTM	0.2	Adam	5	50
Deep_20	LSTM	0.2	Adam	5	200
Deep_21	LSTM	0.5	Adam	1	50
Deep_22	LSTM	0.5	Adam	1	200
Deep_23	LSTM	0.5	Adam	5	50
Deep_24	LSTM	0.5	Adam	5	200
Deep_25	BILSTM	0.2	Adam	1	50
Deep_26	BILSTM	0.2	Adam	1	200
Deep_27	BILSTM	0.2	Adam	5	50
Deep_28	BILSTM	0.2	Adam	5	200
Deep_29	BILSTM	0.5	Adam	1	50
Deep_30	BILSTM	0.5	Adam	1	200
Deep_31	BILSTM	0.5	Adam	5	50
Deep_32	BILSTM	0.5	Adam	5	200
Deep_33	Stack LSTM - GRU	0.2	Adam	1	50
Deep_34	Stack LSTM - GRU	0.2	Adam	1	200
Deep_35	Stack LSTM - GRU	0.2	Adam	5	50
Deep_36	Stack LSTM - GRU	0.2	Adam	5	200
Deep_37	Stack LSTM - GRU	0.5	Adam	1	50
Deep_38	Stack LSTM - GRU	0.5	Adam	1	200
Deep_39	Stack LSTM - GRU	0.5	Adam	5	50
Deep_40	Stack LSTM - GRU	0.5	Adam	5	200
Deep_41	Stack LSTM - BILSTM	0.2	Adam	1	50
Deep_42	Stack LSTM - BILSTM	0.2	Adam	1	200
Deep_43	Stack LSTM - BILSTM	0.2	Adam	5	50
Deep_44	Stack LSTM - BILSTM	0.2	Adam	5	200
Deep_45	Stack LSTM - BILSTM	0.5	Adam	1	50
Deep_46	Stack LSTM - BILSTM	0.5	Adam	1	200
Deep_47	Stack LSTM - BILSTM	0.5	Adam	5	50
Deep_48	Stack LSTM - BILSTM	0.5	Adam	5	200
Deep_49	Stack BILSTM - LSTM	0.2	Adam	1	50
Deep_50	Stack BILSTM - LSTM	0.2	Adam	1	200
Deep_51	Stack BILSTM - LSTM	0.2	Adam	5	50
Deep_52	Stack BILSTM - LSTM	0.2	Adam	5	200
Deep_53	Stack BILSTM - LSTM	0.5	Adam	1	50
Deep_54	Stack BILSTM - LSTM	0.5	Adam	1	200
Deep_55	Stack BILSTM - LSTM	0.5	Adam	5	50
Deep_56	Stack BILSTM - LSTM	0.5	Adam	5	200
Deep_57	Stack BILSTM - GRU	0.2	Adam	1	50
Deep_58	Stack BILSTM - GRU	0.2	Adam	1	200
Deep_59	Stack BILSTM - GRU	0.2	Adam	5	50
Deep_60	Stack BILSTM - GRU	0.2	Adam	5	200
Deep_61	Stack BILSTM - GRU	0.5	Adam	1	50
Deep_62	Stack BILSTM - GRU	0.5	Adam	1	200
Deep_63	Stack BILSTM - GRU	0.5	Adam	5	50
Deep_64	Stack BILSTM - GRU	0.5	Adam	5	200
Deep_65	Stack GRU - LSTM	0.2	Adam	1	50
Deep_66	Stack GRU - LSTM	0.2	Adam	1	200
Deep_67	Stack GRU - LSTM	0.2	Adam	5	50
Deep_68	Stack GRU - LSTM	0.2	Adam	5	200
Deep_69	Stack GRU - LSTM	0.5	Adam	1	50
Deep_70	Stack GRU - LSTM	0.5	Adam	1	200
Deep_71	Stack GRU - LSTM	0.5	Adam	5	50
Deep_72	Stack GRU - LSTM	0.5	Adam	5	200
Deep_73	Stack GRU - BILSTM	0.2	Adam	1	50
Deep_74	Stack GRU - BILSTM	0.2	Adam	1	200
Deep_75	Stack GRU - BILSTM	0.2	Adam	5	50
Deep_76	Stack GRU - BILSTM	0.2	Adam	5	200
Deep_77	Stack GRU - BILSTM	0.5	Adam	1	50
Deep_78	Stack GRU - BILSTM	0.5	Adam	1	200
Deep_79	Stack GRU - BILSTM	0.5	Adam	5	50
Deep_80	Stack GRU - BILSTM	0.5	Adam	5	200
