Algorithm Index for Reference	Algorithm Name	Dropout	Optimizer	Batch Size	Epochs
DL_1	ANN	0.2	Adam	1	50
DL_2	ANN	0.2	Adam	1	200
DL_3	ANN	0.2	Adam	5	50
DL_4	ANN	0.2	Adam	5	200
DL_5	ANN	0.5	Adam	1	50
DL_6	ANN	0.5	Adam	1	200
DL_7	ANN	0.5	Adam	5	50
DL_8	ANN	0.5	Adam	5	200
DL_9	GRU	0.2	Adam	1	50
DL_10	GRU	0.2	Adam	1	200
DL_11	GRU	0.2	Adam	5	50
DL_12	GRU	0.2	Adam	5	200
DL_13	GRU	0.5	Adam	1	50
DL_14	GRU	0.5	Adam	1	200
DL_15	GRU	0.5	Adam	5	50
DL_16	GRU	0.5	Adam	5	200
DL_17	LSTM	0.2	Adam	1	50
DL_18	LSTM	0.2	Adam	1	200
DL_19	LSTM	0.2	Adam	5	50
DL_20	LSTM	0.2	Adam	5	200
DL_21	LSTM	0.5	Adam	1	50
DL_22	LSTM	0.5	Adam	1	200
DL_23	LSTM	0.5	Adam	5	50
DL_24	LSTM	0.5	Adam	5	200
DL_25	BILSTM	0.2	Adam	1	50
DL_26	BILSTM	0.2	Adam	1	200
DL_27	BILSTM	0.2	Adam	5	50
DL_28	BILSTM	0.2	Adam	5	200
DL_29	BILSTM	0.5	Adam	1	50
DL_30	BILSTM	0.5	Adam	1	200
DL_31	BILSTM	0.5	Adam	5	50
DL_32	BILSTM	0.5	Adam	5	200
DL_33	Stack LSTM - GRU	0.2	Adam	1	50
DL_34	Stack LSTM - GRU	0.2	Adam	1	200
DL_35	Stack LSTM - GRU	0.2	Adam	5	50
DL_36	Stack LSTM - GRU	0.2	Adam	5	200
DL_37	Stack LSTM - GRU	0.5	Adam	1	50
DL_38	Stack LSTM - GRU	0.5	Adam	1	200
DL_39	Stack LSTM - GRU	0.5	Adam	5	50
DL_40	Stack LSTM - GRU	0.5	Adam	5	200
DL_41	Stack LSTM - BILSTM	0.2	Adam	1	50
DL_42	Stack LSTM - BILSTM	0.2	Adam	1	200
DL_43	Stack LSTM - BILSTM	0.2	Adam	5	50
DL_44	Stack LSTM - BILSTM	0.2	Adam	5	200
DL_45	Stack LSTM - BILSTM	0.5	Adam	1	50
DL_46	Stack LSTM - BILSTM	0.5	Adam	1	200
DL_47	Stack LSTM - BILSTM	0.5	Adam	5	50
DL_48	Stack LSTM - BILSTM	0.5	Adam	5	200
DL_49	Stack BILSTM - LSTM	0.2	Adam	1	50
DL_50	Stack BILSTM - LSTM	0.2	Adam	1	200
DL_51	Stack BILSTM - LSTM	0.2	Adam	5	50
DL_52	Stack BILSTM - LSTM	0.2	Adam	5	200
DL_53	Stack BILSTM - LSTM	0.5	Adam	1	50
DL_54	Stack BILSTM - LSTM	0.5	Adam	1	200
DL_55	Stack BILSTM - LSTM	0.5	Adam	5	50
DL_56	Stack BILSTM - LSTM	0.5	Adam	5	200
DL_57	Stack BILSTM - GRU	0.2	Adam	1	50
DL_58	Stack BILSTM - GRU	0.2	Adam	1	200
DL_59	Stack BILSTM - GRU	0.2	Adam	5	50
DL_60	Stack BILSTM - GRU	0.2	Adam	5	200
DL_61	Stack BILSTM - GRU	0.5	Adam	1	50
DL_62	Stack BILSTM - GRU	0.5	Adam	1	200
DL_63	Stack BILSTM - GRU	0.5	Adam	5	50
DL_64	Stack BILSTM - GRU	0.5	Adam	5	200
DL_65	Stack GRU - LSTM	0.2	Adam	1	50
DL_66	Stack GRU - LSTM	0.2	Adam	1	200
DL_67	Stack GRU - LSTM	0.2	Adam	5	50
DL_68	Stack GRU - LSTM	0.2	Adam	5	200
DL_69	Stack GRU - LSTM	0.5	Adam	1	50
DL_70	Stack GRU - LSTM	0.5	Adam	1	200
DL_71	Stack GRU - LSTM	0.5	Adam	5	50
DL_72	Stack GRU - LSTM	0.5	Adam	5	200
DL_73	Stack GRU - BILSTM	0.2	Adam	1	50
DL_74	Stack GRU - BILSTM	0.2	Adam	1	200
DL_75	Stack GRU - BILSTM	0.2	Adam	5	50
DL_76	Stack GRU - BILSTM	0.2	Adam	5	200
DL_77	Stack GRU - BILSTM	0.5	Adam	1	50
DL_78	Stack GRU - BILSTM	0.5	Adam	1	200
DL_79	Stack GRU - BILSTM	0.5	Adam	5	50
DL_80	Stack GRU - BILSTM	0.5	Adam	5	200
