Algorithm Index for Reference	Algorithm Name
ML_1	AdaBoostClassifier
ML_2	BaggingClassifier
ML_3	ExtraTreesClassifier
ML_4	GradientBoostingClassifier
ML_5	RandomForestClassifier
ML_6	HistGradientBoostingClassifier
ML_7	GaussianProcessClassifier
ML_8	PassiveAggressiveClassifier
ML_9	RidgeClassifier
ML_10	SGDClassifier
ML_11	BernoulliNB
ML_12	GaussianNB
ML_13	KNeighborsClassifier
ML_14	LogisticRegression
ML_15	MLPClassifier
ML_16	DecisionTreeClassifier
ML_17	SVC, Kernel: linear
ML_18	SVC, Kernel: poly
ML_19	SVC, Kernel: rbf
ML_20	SVC, Kernel: sigmoid
ML_21	Xgboost, Booster: gblinear - Loss function: binary:hinge
ML_22	Xgboost, Booster: gblinear - Loss function: binary:logistic
ML_23	Xgboost, Booster: gblinear - Loss function: binary:logitraw
ML_24	Xgboost, Booster: gbtree - Loss function: binary:hinge
ML_25	Xgboost, Booster: gbtree - Loss function: binary:logistic
ML_26	Xgboost, Booster: gbtree - Loss function: binary:logitraw
ML_27	Xgboost, Booster: dart - Loss function: binary:hinge
ML_28	Xgboost, Booster: dart - Loss function: binary:logistic
ML_29	Xgboost, Booster: dart - Loss function: binary:logitraw
