Algorithm Index for Reference	Parameters
DL_1	200-50-0.1-200-1-0.1
DL_2	200-50-0.1-200-1-0.325
DL_3	200-50-0.1-200-1-0.55
DL_4	200-50-0.1-200-1-0.775
DL_5	200-50-0.1-200-1-1.0
DL_6	200-50-0.1-400-1-0.1
DL_7	200-50-0.1-400-1-0.325
DL_8	200-50-0.1-400-1-0.55
DL_9	200-50-0.1-400-1-0.775
DL_10	200-50-0.1-400-1-1.0
DL_11	200-50-0.1-600-1-0.1
DL_12	200-50-0.1-600-1-0.325
DL_13	200-50-0.1-600-1-0.55
DL_14	200-50-0.1-600-1-0.775
DL_15	200-50-0.1-600-1-1.0
DL_16	200-50-0.1-800-1-0.1
DL_17	200-50-0.1-800-1-0.325
DL_18	200-50-0.1-800-1-0.55
DL_19	200-50-0.1-800-1-0.775
DL_20	200-50-0.1-800-1-1.0
DL_21	200-50-0.1-1000-1-0.1
DL_22	200-50-0.1-1000-1-0.325
DL_23	200-50-0.1-1000-1-0.55
DL_24	200-50-0.1-1000-1-0.775
DL_25	200-50-0.1-1000-1-1.0
DL_26	200-50-0.3-200-1-0.1
DL_27	200-50-0.3-200-1-0.325
DL_28	200-50-0.3-200-1-0.55
DL_29	200-50-0.3-200-1-0.775
DL_30	200-50-0.3-200-1-1.0
DL_31	200-50-0.3-400-1-0.1
DL_32	200-50-0.3-400-1-0.325
DL_33	200-50-0.3-400-1-0.55
DL_34	200-50-0.3-400-1-0.775
DL_35	200-50-0.3-400-1-1.0
DL_36	200-50-0.3-600-1-0.1
DL_37	200-50-0.3-600-1-0.325
DL_38	200-50-0.3-600-1-0.55
DL_39	200-50-0.3-600-1-0.775
DL_40	200-50-0.3-600-1-1.0
DL_41	200-50-0.3-800-1-0.1
DL_42	200-50-0.3-800-1-0.325
DL_43	200-50-0.3-800-1-0.55
DL_44	200-50-0.3-800-1-0.775
DL_45	200-50-0.3-800-1-1.0
DL_46	200-50-0.3-1000-1-0.1
DL_47	200-50-0.3-1000-1-0.325
DL_48	200-50-0.3-1000-1-0.55
DL_49	200-50-0.3-1000-1-0.775
DL_50	200-50-0.3-1000-1-1.0
DL_51	200-50-0.5-200-1-0.1
DL_52	200-50-0.5-200-1-0.325
DL_53	200-50-0.5-200-1-0.55
DL_54	200-50-0.5-200-1-0.775
DL_55	200-50-0.5-200-1-1.0
DL_56	200-50-0.5-400-1-0.1
DL_57	200-50-0.5-400-1-0.325
DL_58	200-50-0.5-400-1-0.55
DL_59	200-50-0.5-400-1-0.775
DL_60	200-50-0.5-400-1-1.0
DL_61	200-50-0.5-600-1-0.1
DL_62	200-50-0.5-600-1-0.325
DL_63	200-50-0.5-600-1-0.55
DL_64	200-50-0.5-600-1-0.775
DL_65	200-50-0.5-600-1-1.0
DL_66	200-50-0.5-800-1-0.1
DL_67	200-50-0.5-800-1-0.325
DL_68	200-50-0.5-800-1-0.55
DL_69	200-50-0.5-800-1-0.775
DL_70	200-50-0.5-800-1-1.0
DL_71	200-50-0.5-1000-1-0.1
DL_72	200-50-0.5-1000-1-0.325
DL_73	200-50-0.5-1000-1-0.55
DL_74	200-50-0.5-1000-1-0.775
DL_75	200-50-0.5-1000-1-1.0
DL_76	200-100-0.1-200-1-0.1
DL_77	200-100-0.1-200-1-0.325
DL_78	200-100-0.1-200-1-0.55
DL_79	200-100-0.1-200-1-0.775
DL_80	200-100-0.1-200-1-1.0
DL_81	200-100-0.1-400-1-0.1
DL_82	200-100-0.1-400-1-0.325
DL_83	200-100-0.1-400-1-0.55
DL_84	200-100-0.1-400-1-0.775
DL_85	200-100-0.1-400-1-1.0
DL_86	200-100-0.1-600-1-0.1
DL_87	200-100-0.1-600-1-0.325
DL_88	200-100-0.1-600-1-0.55
DL_89	200-100-0.1-600-1-0.775
DL_90	200-100-0.1-600-1-1.0
DL_91	200-100-0.1-800-1-0.1
DL_92	200-100-0.1-800-1-0.325
DL_93	200-100-0.1-800-1-0.55
DL_94	200-100-0.1-800-1-0.775
DL_95	200-100-0.1-800-1-1.0
DL_96	200-100-0.1-1000-1-0.1
DL_97	200-100-0.1-1000-1-0.325
DL_98	200-100-0.1-1000-1-0.55
DL_99	200-100-0.1-1000-1-0.775
DL_100	200-100-0.1-1000-1-1.0
DL_101	200-100-0.3-200-1-0.1
DL_102	200-100-0.3-200-1-0.325
DL_103	200-100-0.3-200-1-0.55
DL_104	200-100-0.3-200-1-0.775
DL_105	200-100-0.3-200-1-1.0
DL_106	200-100-0.3-400-1-0.1
DL_107	200-100-0.3-400-1-0.325
DL_108	200-100-0.3-400-1-0.55
DL_109	200-100-0.3-400-1-0.775
DL_110	200-100-0.3-400-1-1.0
DL_111	200-100-0.3-600-1-0.1
DL_112	200-100-0.3-600-1-0.325
DL_113	200-100-0.3-600-1-0.55
DL_114	200-100-0.3-600-1-0.775
DL_115	200-100-0.3-600-1-1.0
DL_116	200-100-0.3-800-1-0.1
DL_117	200-100-0.3-800-1-0.325
DL_118	200-100-0.3-800-1-0.55
DL_119	200-100-0.3-800-1-0.775
DL_120	200-100-0.3-800-1-1.0
DL_121	200-100-0.3-1000-1-0.1
DL_122	200-100-0.3-1000-1-0.325
DL_123	200-100-0.3-1000-1-0.55
DL_124	200-100-0.3-1000-1-0.775
DL_125	200-100-0.3-1000-1-1.0
DL_126	200-100-0.5-200-1-0.1
DL_127	200-100-0.5-200-1-0.325
DL_128	200-100-0.5-200-1-0.55
DL_129	200-100-0.5-200-1-0.775
DL_130	200-100-0.5-200-1-1.0
DL_131	200-100-0.5-400-1-0.1
DL_132	200-100-0.5-400-1-0.325
DL_133	200-100-0.5-400-1-0.55
DL_134	200-100-0.5-400-1-0.775
DL_135	200-100-0.5-400-1-1.0
DL_136	200-100-0.5-600-1-0.1
DL_137	200-100-0.5-600-1-0.325
DL_138	200-100-0.5-600-1-0.55
DL_139	200-100-0.5-600-1-0.775
DL_140	200-100-0.5-600-1-1.0
DL_141	200-100-0.5-800-1-0.1
DL_142	200-100-0.5-800-1-0.325
DL_143	200-100-0.5-800-1-0.55
DL_144	200-100-0.5-800-1-0.775
DL_145	200-100-0.5-800-1-1.0
DL_146	200-100-0.5-1000-1-0.1
DL_147	200-100-0.5-1000-1-0.325
DL_148	200-100-0.5-1000-1-0.55
DL_149	200-100-0.5-1000-1-0.775
DL_150	200-100-0.5-1000-1-1.0
DL_151	200-150-0.1-200-1-0.1
DL_152	200-150-0.1-200-1-0.325
DL_153	200-150-0.1-200-1-0.55
DL_154	200-150-0.1-200-1-0.775
DL_155	200-150-0.1-200-1-1.0
DL_156	200-150-0.1-400-1-0.1
DL_157	200-150-0.1-400-1-0.325
DL_158	200-150-0.1-400-1-0.55
DL_159	200-150-0.1-400-1-0.775
DL_160	200-150-0.1-400-1-1.0
DL_161	200-150-0.1-600-1-0.1
DL_162	200-150-0.1-600-1-0.325
DL_163	200-150-0.1-600-1-0.55
DL_164	200-150-0.1-600-1-0.775
DL_165	200-150-0.1-600-1-1.0
DL_166	200-150-0.1-800-1-0.1
DL_167	200-150-0.1-800-1-0.325
DL_168	200-150-0.1-800-1-0.55
DL_169	200-150-0.1-800-1-0.775
DL_170	200-150-0.1-800-1-1.0
DL_171	200-150-0.1-1000-1-0.1
DL_172	200-150-0.1-1000-1-0.325
DL_173	200-150-0.1-1000-1-0.55
DL_174	200-150-0.1-1000-1-0.775
DL_175	200-150-0.1-1000-1-1.0
DL_176	200-150-0.3-200-1-0.1
DL_177	200-150-0.3-200-1-0.325
DL_178	200-150-0.3-200-1-0.55
DL_179	200-150-0.3-200-1-0.775
DL_180	200-150-0.3-200-1-1.0
DL_181	200-150-0.3-400-1-0.1
DL_182	200-150-0.3-400-1-0.325
DL_183	200-150-0.3-400-1-0.55
DL_184	200-150-0.3-400-1-0.775
DL_185	200-150-0.3-400-1-1.0
DL_186	200-150-0.3-600-1-0.1
DL_187	200-150-0.3-600-1-0.325
DL_188	200-150-0.3-600-1-0.55
DL_189	200-150-0.3-600-1-0.775
DL_190	200-150-0.3-600-1-1.0
DL_191	200-150-0.3-800-1-0.1
DL_192	200-150-0.3-800-1-0.325
DL_193	200-150-0.3-800-1-0.55
DL_194	200-150-0.3-800-1-0.775
DL_195	200-150-0.3-800-1-1.0
DL_196	200-150-0.3-1000-1-0.1
DL_197	200-150-0.3-1000-1-0.325
DL_198	200-150-0.3-1000-1-0.55
DL_199	200-150-0.3-1000-1-0.775
DL_200	200-150-0.3-1000-1-1.0
DL_201	200-150-0.5-200-1-0.1
DL_202	200-150-0.5-200-1-0.325
DL_203	200-150-0.5-200-1-0.55
DL_204	200-150-0.5-200-1-0.775
DL_205	200-150-0.5-200-1-1.0
DL_206	200-150-0.5-400-1-0.1
DL_207	200-150-0.5-400-1-0.325
DL_208	200-150-0.5-400-1-0.55
DL_209	200-150-0.5-400-1-0.775
DL_210	200-150-0.5-400-1-1.0
DL_211	200-150-0.5-600-1-0.1
DL_212	200-150-0.5-600-1-0.325
DL_213	200-150-0.5-600-1-0.55
DL_214	200-150-0.5-600-1-0.775
DL_215	200-150-0.5-600-1-1.0
DL_216	200-150-0.5-800-1-0.1
DL_217	200-150-0.5-800-1-0.325
DL_218	200-150-0.5-800-1-0.55
DL_219	200-150-0.5-800-1-0.775
DL_220	200-150-0.5-800-1-1.0
