,phenovaluecount,prephenovalue,postphenovalue
0,Phenotype,Retrognathia (Marfan Syndrome),Retrognathia (Marfan Syndrome)
1,6348,-,-
2,46,No,No
3,6,Do not express symptoms to knowledge,U
4,5,Slight,Yes
5,Phenotype,Eye pigmentation ,x
6,6289,-,x
7,26,Blue,x
8,21,Brown,x
9,20,Hazel dark green,x
10,16,Changes blue/green/grey,x
11,10,Green,x
12,5,Hazel light green,x
13,3,Rs16891982gg,x
14,2,Blue-grey,x
15,2,Heterochromia ,x
16,2,changes blue/green/grey,x
17,1,hazel light green,x
18,1,DARK BLUE,x
19,1,eye color what do you think,x
20,1,Hazel/Yellow,x
21,1,Light Gray Blue,x
22,1, green brown,x
23,1,Hazel/yellow,x
24,1,Hazel green,x
25,1,No,x
26,Phenotype,Vegetarianism/Preference for Meat,x
27,6138,-,x
28,58,50/50,x
29,27,Lacto-ovo vegetarian,x
30,26,Meat eater,x
31,26,Paleo (high meat consumption),x
32,23,Vegan,x
33,12,Only chickenfish and turkey,x
34,11,Ovo-pescatarian,x
35,11,Meat 2+ times per day,x
36,8,Mostly vegetarian eat some poultry. Other meat rarely. No fish,x
37,8,Meat over vegetables,x
38,7,Atkins (high meat consumption),x
39,6,None,x
40,6,Mostly vegetarian but crave seafood,x
41,5,vegan,x
42,4,Mostly vegetarian eat fish/seafood and chicken occasionally eat very rare steak very rarely,x
43,4,Meat 2x per week,x
44,3,Meat tastes awful to me,x
45,3,only ChickenFish and Turkey,x
46,2,meat eater,x
47,2,Very choosy about what meat i consume,x
48,2,Mostly vegetarian eat some poultry. other meat rarely. no fish,x
49,2,Perfer chickenfish and Turkey will eat hamburger occasionally ,x
50,1,Mostly Vegan Completely Vegetarian,x
51,1,Mostly Pescetarian but sometimes I like to eat meat.,x
52,1,Preference for vegetable/fruit diet more marked with ageing.  Meat preferences chicken.  Seafood - tuna salmon oysters crab prawns but not scallops,x
53,1,Lacto-ovo-pescatarian,x
54,1,Very choosy about what meat I consume,x
55,1,Ovo-Pescatarian,x
56,1,Mostly vegan unable to give up cheese,x
57,1,Paleo (High meat consumption),x
58,1,mostly vegetarian but crave seafood,x
59,1,Lacto-Ovo Vegetarian,x
60,1,Omnivore but low affinity for meat except poultry and fish,x
61,Phenotype,Form of foot,x
62,6363,-,x
63,14,Flat,x
64,11,Egyptian,x
65,10,Greek,x
66,3,Roman,x
67,2,square,x
68,1,flat,x
69,1,Square,x
70,Phenotype,Eye color,x
71,4712,-,x
72,410,Brown,x
73,215,Blue,x
74,124,Hazel,x
75,122,Blue-grey,x
76,117,Green,x
77,88,Dark brown,x
78,76,Blue-green,x
79,68,Brown-green,x
80,38,Hazel (brown/green),x
81,37,Hazel/light brown,x
82,27,Gray-blue,x
83,21,Blue-grey broken amber collarette,x
84,19,Green-hazel,x
85,19,Dark blue,x
86,19,hazel,x
87,17,Green-gray,x
88,16,brown,x
89,16,Green-brown,x
90,15,Blue-green ,x
91,15,blue-green,x
92,14,blue,x
93,11,green,x
94,11,Blue with yellow parts,x
95,11,Blue grey green changing,x
96,9,Light-mixed green,x
97,9,Blue-grey with central heterochromia,x
98,8,Mixed,x
99,8,Blue grey,x
100,7,Hazel (light brown dark green dark blue),x
101,7,Blue-green amber collarette and gray-blue ringing,x
102,7,blue-grey,x
103,6,Rs12913832 ag (they,x
104,6,Blue with a yellow ring of flecks that make my eyes look green depending on the light or my  mood     ,x
105,6,Brown/black,x
106,5,Indeterminate brown-green with a subtle grey caste,x
107,5,Blue-green-grey,x
108,5,Brown - brown and green in bright sunlight,x
109,5,Brown center starburst amber and olive green with dark gray outer ring,x
110,4,Light blue-green,x
111,4,Green ,x
112,4,Brown-(green when external temperature rises),x
113,4,rs12913832 AG (they,x
114,4,Rs12913832 aa,x
115,4,brown-green,x
116,3,blue-green ,x
117,3,Ambar-green,x
118,3,Olive-brown ringing burnt umber-brown,x
119,3,Brown-amber,x
120,2,Green with brown freckles,x
121,2,Black,x
122,2,Rs12913832 gg,x
123,2,blue grey green changing,x
124,2,Grey brown,x
125,2,Light-mixed Green,x
126,2,GG,x
127,2,Hazel/Light Brown,x
128,2,Ambar-Green,x
129,2,Gg,x
130,1,Brown - Brown and green in bright sunlight,x
131,1,rs12913832 GG,x
132,1,Red/blood,x
133,1,Amber - (yellow/ocre  brown),x
134,1,Brown-Amber,x
135,1,green-blue outer ring and brown flecks around iris,x
136,1,Hazel/yellow,x
137,1,Hazel/Yellow,x
138,1,indeterminate brown-green with a subtle grey caste,x
139,1,Green-Hazel,x
140,1,gray-blue,x
141,1,green-brown,x
142,1,Dark Grayish-Blue Eyes (like a stone),x
143,1,blue-brown heterochromia,x
144,1,Olive-Brown ringing Burnt Umber-Brown,x
145,1,Split - one side dark blue / other side light blue and green,x
146,1,UNKNOWN,x
147,1,Blue-green heterochromia,x
148,Phenotype,A+,x
149,6286,-,x
150,44,A+,x
151,26,Caucasian,x
152,14,0+,x
153,10,A-,x
154,8,No,x
155,6,O-,x
156,5,A2b+,x
157,1,A2B+,x
158,1,AB+,x
159,1,Native American,x
160,1,O+,x
161,1,I am B+ my mother was AB+ my Dad was O+ now stop with the blood type questions. ,x
162,1,maybe but probably O,x
163,Phenotype,MSG tastes...,x
164,6289,-,x
165,48,Good,x
166,18,No taste,x
167,12,I avoid msg like the plague even though its in many foods naturally therefore not disclosed,x
168,12,I don't eat msg,x
169,5,Initially pleasant bad aftertaste,x
170,4,I get really thirsty,x
171,4,Bad,x
172,3,I avoid MSG like the plague even though its in many foods naturally therefore not disclosed,x
173,2,Tingling sensation over the whole tongue,x
